User_Name,"Dragon Beaux, San Francisco","Seven Hills, San Francisco","Acquerello, San Francisco","Betty Lou's Seafood and Grill, San Francisco","Sweet Maple, San Francisco","Ristorante Franchino, San Francisco","Harborview Restaurant & Bar, San Francisco","Nob Hill Cafe, San Francisco","Piccolo Forno, San Francisco","Lapisara Eatery, San Francisco","Coqueta, San Francisco","Anchor Oyster Bar & Seafood Market, San Francisco","ALX by Alexander's Steakhouse, San Francisco","Hollywood Cafe, San Francisco","Off the Grid: Fort Mason Center, San Francisco","Pacific Catch, San Francisco","Mersea Restaurant, San Francisco","Quince, San Francisco","The Grotto, San Francisco","Hog Island Oyster Company, San Francisco","Boulevard, San Francisco","Chapeau!, San Francisco","The House, San Francisco","Delancey Street Restaurant, San Francisco",SPIN San Francisco,"Chez Maman, San Francisco","Mo's Grill, San Francisco","Burma Superstar Restaurant, San Francisco","L'ardoise Bistro, San Francisco","La Ciccia, San Francisco","New Thai Elephant, San Francisco","E Tutto Qua, San Francisco","Pacific Cafe, San Francisco","Kokkari Estiatorio, San Francisco","Eight Am, San Francisco","Jeanne D'Arc Restaurant, San Francisco","Pier Market Seafood Restaurant, San Francisco"
WendyS58,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beventful,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jam597,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M H,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziggy517,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danyell2g,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lmhighland,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geo_john,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JameAndDare,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emc42019,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSGclan,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmanuel12,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViP08,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennie624,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
megtmc,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HandsomePete,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ericgeerlings,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebel62,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggie W,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob B,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Jo C,,,,,,,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
Dave C,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timetraveller86,,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,
Kazmet62,,,,,,,,5.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,
O2160QWmattb,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCPlaza,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BobandBarryV,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hockeygypsy,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ken-230910,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X9414IFmm,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RodgerCashel_Ireland,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808jayd,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ddpojo,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_Zahn,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
R2560UZmikem,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill D,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg_Edwards,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viki C,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CathV70,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azemmie,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
felly70,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dee0512,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PhillipB771,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
CArOlT4242014,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoamingOutAndAbout,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dweezil28,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florence h,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libby S,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karini72,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HollyMunn93,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kristintbrown,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774yvonnef,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightFighter,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,
LightFighter,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,
margaretgL7365SB,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504krisf,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
Debsha,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny H,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JojoChan,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meg337,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wade S,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tolistravelers,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotcho,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
TrvlsEatsExplrs,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael D,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdclifton,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E T,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E T,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8337BDjosephc,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
petfam,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_trenorden,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elayna_smith,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593DavidM,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TerryT603,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hutchss,,,,,,,,5.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,5.0,,,
hutchss,,,,,,,,5.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,5.0,,,
hutchss,,,,,,,,5.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,5.0,,,
Krebsy724,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JennyG475,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlexVisitstheWorld,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah E,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zamok,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kristiea959,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMryl,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melbscoop,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family0f6traveler,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokyojustin,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oahu55,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don C,,,,,,,,4.0,,,,,,,,,,,,4.0,5.0,,,,,,,,,,,,,5.0,,,
Jacqueline S,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mawa24,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eatlocal1ofakind,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mapdsp,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987dinad,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1der,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rajitha v,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paul l,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael G,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael G,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael G,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael G,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bon B,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmethystTravel,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trickytrac,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,
ISMc,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenjitrip2014,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michhd,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lurch66,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarabusBangor,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B B,,,,,,,,5.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
B B,,,,,,,,5.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
sivad4g,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChowHound2015,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yonatans713,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MissJJ,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pddownunder,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brickskeller,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashley h,,,,,,,,5.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,
52MarthaP,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
va-va60,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,
76dave2014,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
76dave2014,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
ashleycairney,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jodi F,,,,,,,,5.0,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,
GarySolihull,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrianKSanDiego,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag3649,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
richardbL2262QX,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebwp1,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2930,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skyflip,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowena N,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5lizs,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew G,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChippyRose,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fairdos,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iMelissa,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenpaint,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessica D,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VanSusie604,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debboca,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muffinann,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JosephS4166,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MamaFleisch,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natalie1864,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jkcummings,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TySchaffer,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PamDavidReviews,,,,,,,,5.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,
Marmaduke00,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95britd,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panster,,,,,,,,5.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
VacaCouple2014,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lisa M,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tonig73,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krina-Jay P,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike1849,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John O,,,,,,,,5.0,,,,,,3.0,,,,,,,5.0,,,,,,,,,,,,,,,,
tokane1,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas M,,,,,,,,4.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,
thomasgmay,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Robin C,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MondayAlready,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385SaraH,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V8290WNcharless,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairiegirls16,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinsler,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah62ool,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867f309,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jschaid,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913matte,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statprof,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beverlya2015,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marianne000001,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beachlover1425,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nalmengual,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donna M,,,,,,,,4.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
Julie S,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
bernied836,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bernied836,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan M,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,
dmas6,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LizRidgewoodNJ,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanessa80435,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighc003,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255slg,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANonyMouse45,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgioia1,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282heidib,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609gregw,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tonyc1975,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
kyscully,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anordinarybloke,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceci209,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brunom131,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574staceyb,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chuckreynolds,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lisa J,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breen77,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas250,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
Phyllis W,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey2004,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi D,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cszanino,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cszanino,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sightseer331130,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
jennifermA7310QV,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shellie C,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebC302,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO_ofcourse,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les R,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kempka1,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SimonA1939,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intltrvlCalgary,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captaintrips77,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peterjanr2016,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger R,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southmauijim,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southmauijim,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jazzybeth20,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
supaberri,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_pearlstein,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redtree54,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neoscona,,,,,,,,4.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
spaboy12345,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SheilaMCHZ,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandy c,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carleton44,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11douglast,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JoeBrad422,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill181736,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGScot,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48stever,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48stever,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junsch,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StacyD494,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colekat,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ericdslc,,,,,,,,5.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
RnCinAZ,,,,,,,,5.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
Henrik E,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352iano,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaparchitect,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allyweb734,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevinfL8002EY,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marc8lange,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB507,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alan k,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endis,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maren509,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natalieS5448QV,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AliciaWalker,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MichaelF590,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheChris_Morgan,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamham730,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimfromNZ,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenjadeholmes,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aroberson1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colinandsuefarrow,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wmnookin,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KK_M_11,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KK_M_11,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIPSTER077,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blndchk808,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mc W,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christina P,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles S,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronwen C,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DudefrmAK,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sarahlee925,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGibson648,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris B,,,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,3.0,,4.0
ayang90,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VeeraS9,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobpnola,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CraigD56,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cindy C,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
Cindy C,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
dennburr,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dennburr,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robinmack,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ggrund3,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879barbaras,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monighan,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diana C,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coake,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ItsikM5,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarlL1686,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
